Title;Series Title;Author;ISBN;Level;Source of Level;Lexile Measure;Source of Lexile
*Fox series (Fox and His Friends - first book);Fox;Marshall, Edward;9780140370072;J;Fountas and Pinnell;NULL;NULL
*Buster and the Giant Pumpkin;Postcards from Buster;Brown, Marc;9780316001113;J;Fountas and Pinnell;NULL;NULL
*Buster Hunts for Dinosaurs;Postcards from Buster;Brown, Marc;97803116001274;J;Fountas and Pinnell;NULL;NULL
*Where the Wild Things Are;Scholastic;Sendak, Maurice;9780064431781;J;Fountas and Pinnell;NULL;NULL
Zelda and Ivy Series;Zelda and Ivy;Kvasnosky, Laura McGee;9780763632618 (Book One) ;J;Scholastic;NULL;NULL
*Space Race;NULL;Cowley, Joy;97807802454008;J;Fountas and Pinnell;NULL;NULL
*The Dumb Bunnies;NULL;Pilkey, Dav;9780439669443;J;Fountas and Pinnell;NULL;NULL
The Littles Series;The Littles;Peterson, John;9780590462259 (Book One) ;J, K, L;Scholastic;NULL;NULL
*The Teacher from the Black Lagoon;Black Lagoon;Thaler, Mark;9780545065221;K;Fountas and Pinnell;NULL;NULL
*Commander Toad in Space;Commander Toad;Yolen, Jane;9780698113558;K;Fountas and Pinnell;NULL;NULL
Houndsley and Catina Series;Houndsley and Catina;Howe, James;9780763632939 (Book One);K;Scholastic;NULL;NULL
*Bony-Legs;NULL;Cole, Joanna;9780590332224;K;Fountas and Pinnell;NULL;NULL
*Monster Movie;NULL;Cole, Joanna;9780590402064;K;Fountas and Pinnell;NULL;NULL
*The Leaf Men and the Brave Good Bugs;NULL;Joyce, William;9780064438179;K;Scholastic;NULL;NULL
The Paper Bag Princess;NULL;Munsch, Robert;9780920236161;K;Scholastic;NULL;NULL
Minnie and Moo Series;Minnie and Moo;Cazet, Denys;9780789425379 (Book One);K, L, M;Scholastic;NULL;NULL
*Vampire Trouble;Bailey City Monsters;"Dadey, Debbie; Jones, Marcia Thornton";9780590108461;L;Fountas and Pinnell;NULL;NULL
Marco? Polo!;Time Warp Trio;Scieszka, Jon;9780142411773;L;Scholastic;NULL;NULL
Werewolf Club Series;Werewolf Club;Pinkwater, Daniel Manus;9780689837906 (Book One);L;Scholastic;NULL;NULL
*The Dragons of Blueland;NULL;Gannett, Ruth Stiles;9780394890500;L;Fountas and Pinnell;NULL;NULL
*The Dragons Of Blueland;NULL;Gannett, Ruth Stiles;9780394890500;L;Fountas and Pinnell;NULL;NULL
*When the Giants Came to Town;NULL;Leonard, Marcia;9780590468923;L;Fountas and Pinnell;NULL;NULL
Dogzilla;NULL;Pilkey, Dav;9780152049492;L;Scholastic;NULL;NULL
Loretta and the Little Fairy;NULL;Scheidl, Gerda Marie;9781558583535;L;Scholastic;NULL;NULL
Pish and Posh;NULL;Bottner, Barbara;9780060514167;L;Scholastic;NULL;NULL
The Magic Hat;NULL;Fox, Mem;9780152010256;L;Scholastic;NULL;NULL
The Wretched Stone;NULL;Van Allsburg, Chris;9780395533079 (Hardcover);L;Scholastic;NULL;NULL
Anyone But Me;Katie Kazoo, Switcheroo;Krulik, Nancy;9780448426532;M;Scholastic;NULL;NULL
*Afternoon on the Amazon;Magic Tree House;Osborne, Mary Pope;9780679863724;M;Fountas and Pinnell;NULL;NULL
*Buffalo Before Breakfast;Magic Tree House;Osborne, Mary Pope;9780679890645;M;Fountas and Pinnell;NULL;NULL
